PRES   ,H2      ,lcoh
10.0,2.07965819,243.3138799584883
10.015015,2.07965811,243.31388931825293
10.03003,2.07965804,243.31389750804755
10.045045,2.07965797,243.3139056978427
10.0600601,2.0796579,243.31391388763845
10.0750751,2.07965783,243.31392207743477
10.0900901,2.07965776,243.31393026723157
10.1051051,2.07965768,243.3139396270001
10.1201201,2.07965761,243.3139478167981
10.1351351,2.07965754,243.31395600659664
10.1501502,2.07965747,243.3139641963958
10.1651652,2.0796574,243.31397238619547
10.1801802,2.07965733,243.31398057599569
10.1951952,2.07965725,243.3139899357681
10.2102102,2.07965718,243.31399812556947
10.2252252,2.07965711,243.3140063153714
10.2402402,2.07965704,243.31401450517393
10.2552553,2.07965697,243.314022694977
10.2702703,2.0796569,243.31403088478058
10.2852853,2.07965682,243.31404024455685
10.3003003,2.07965675,243.3140484343616
10.3153153,2.07965668,243.31405662416694
10.3303303,2.07965661,243.31406481397286
10.3453453,2.07965654,243.31407300377927
10.3603604,2.07965647,243.31408119358625
10.3753754,2.07965639,243.31409055336644
10.3903904,2.07965632,243.31409874317458
10.4054054,2.07965625,243.31410693298324
10.4204204,2.07965618,243.31411512279254
10.4354354,2.07965611,243.31412331260242
10.4504505,2.07965604,243.31413150241275
10.4654655,2.07965596,243.31414086219672
10.4804805,2.07965589,243.31414905200828
10.4954955,2.07965582,243.3141572418204
10.5105105,2.07965575,243.31416543163309
10.5255255,2.07965568,243.31417362144634
10.5405405,2.07965561,243.31418181126008
10.5555556,2.07965553,243.31419117104792
10.5705706,2.07965546,243.31419936086283
10.5855856,2.07965539,243.31420755067836
10.6006006,2.07965532,243.31421574049443
10.6156156,2.07965525,243.31422393031107
10.6306306,2.07965518,243.3142321201282
10.6456456,2.0796551,243.3142414799199
10.6606607,2.07965503,243.31424966973822
10.6756757,2.07965496,243.31425785955713
10.6906907,2.07965489,243.31426604937658
10.7057057,2.07965482,243.3142742391966
10.7207207,2.07965475,243.31428242901714
10.7357357,2.07965467,243.3142917888127
10.7507508,2.0796546,243.3142999786344
10.7657658,2.07965453,243.3143081684567
10.7807808,2.07965446,243.31431635827957
10.7957958,2.07965439,243.31432454810295
10.8108108,2.07965432,243.31433273792686
10.8258258,2.07965425,243.31434092775137
10.8408408,2.07965417,243.3143502875514
10.8558559,2.0796541,243.31435847737708
10.8708709,2.07965403,243.31436666720333
10.8858859,2.07965396,243.31437485703012
10.9009009,2.07965389,243.3143830468574
10.9159159,2.07965382,243.31439123668528
10.9309309,2.07965374,243.31440059648918
10.9459459,2.07965367,243.31440878631827
10.960961,2.0796536,243.3144169761479
10.975976,2.07965353,243.31442516597807
10.990991,2.07965346,243.31443335580875
11.006006,2.07965339,243.31444154564002
11.021021,2.07965331,243.31445090544779
11.036036,2.07965324,243.31445909528026
11.0510511,2.07965317,243.31446728511327
11.0660661,2.0796531,243.31447547494682
11.0810811,2.07965303,243.31448366478088
11.0960961,2.07965296,243.3144918546155
11.1111111,2.07965288,243.3145012144272
11.1261261,2.07965281,243.31450940426302
11.1411411,2.07965274,243.31451759409939
11.1561562,2.07965267,243.3145257839363
11.1711712,2.0796526,243.3145339737738
11.1861862,2.07965253,243.31454216361183
11.2012012,2.07965245,243.31455152342738
11.2162162,2.07965238,243.31455971326662
11.2312312,2.07965231,243.31456790310637
11.2462462,2.07965224,243.31457609294665
11.2612613,2.07965217,243.31458428278754
11.2762763,2.0796521,243.31459247262896
11.2912913,2.07965202,243.3146018324484
11.3063063,2.07965195,243.31461002229102
11.3213213,2.07965188,243.31461821213415
11.3363363,2.07965181,243.31462640197782
11.3513514,2.07965174,243.31463459182208
11.3663664,2.07965167,243.31464278166692
11.3813814,2.07965159,243.31465214149023
11.3963964,2.07965152,243.31466033133623
11.4114114,2.07965145,243.31466852118274
11.4264264,2.07965138,243.3146767110298
11.4414414,2.07965131,243.31468490087747
11.4564565,2.07965124,243.31469309072565
11.4714715,2.07965116,243.31470245055283
11.4864865,2.07965109,243.31471064040224
11.5015015,2.07965102,243.31471883025213
11.5165165,2.07965095,243.31472702010257
11.5315315,2.07965088,243.31473520995362
11.5465465,2.07965081,243.31474339980522
11.5615616,2.07965074,243.3147515896573
11.5765766,2.07965066,243.31476094948903
11.5915916,2.07965059,243.31476913934233
11.6066066,2.07965052,243.31477732919615
11.6216216,2.07965045,243.3147855190506
11.6366366,2.07965038,243.31479370890557
11.6516517,2.07965031,243.31480189876106
11.6666667,2.07965023,243.31481125859665
11.6816817,2.07965016,243.3148194484533
11.6966967,2.07965009,243.31482763831053
11.7117117,2.07965002,243.31483582816836
11.7267267,2.07964995,243.31484401802675
11.7417417,2.07964988,243.31485220788562
11.7567568,2.0796498,243.31486156772507
11.7717718,2.07964973,243.31486975758511
11.7867868,2.07964966,243.31487794744572
11.8018018,2.07964959,243.31488613730693
11.8168168,2.07964952,243.3148943271687
11.8318318,2.07964945,243.31490251703096
11.8468468,2.07964937,243.3149118768743
11.8618619,2.0796493,243.31492006673773
11.8768769,2.07964923,243.31492825660172
11.8918919,2.07964916,243.31493644646628
11.9069069,2.07964909,243.31494463633143
11.9219219,2.07964902,243.31495282619707
11.9369369,2.07964894,243.3149621860443
11.951952,2.07964887,243.3149703759111
11.966967,2.0796488,243.3149785657785
11.981982,2.07964873,243.31498675564646
11.996997,2.07964866,243.314994945515
12.012012,2.07964859,243.31500313538402
12.027027,2.07964852,243.31501132525366
12.042042,2.07964844,243.3150206851053
12.0570571,2.07964837,243.3150288749761
12.0720721,2.0796483,243.31503706484744
12.0870871,2.07964823,243.31504525471937
12.1021021,2.07964816,243.3150534445918
12.1171171,2.07964809,243.31506163446483
12.1321321,2.07964801,243.31507099432034
12.1471471,2.07964794,243.3150791841945
12.1621622,2.07964787,243.31508737406926
12.1771772,2.0796478,243.31509556394457
12.1921922,2.07964773,243.31510375382038
12.2072072,2.07964766,243.31511194369676
12.2222222,2.07964758,243.31512130355617
12.2372372,2.07964751,243.31512949343372
12.2522523,2.07964744,243.31513768331186
12.2672673,2.07964737,243.31514587319054
12.2822823,2.0796473,243.31515406306974
12.2972973,2.07964723,243.31516225294953
12.3123123,2.07964715,243.3151716128128
12.3273273,2.07964708,243.31517980269373
12.3423423,2.07964701,243.31518799257526
12.3573574,2.07964694,243.31519618245733
12.3723724,2.07964687,243.31520437233993
12.3873874,2.0796468,243.3152125622231
12.4024024,2.07964673,243.31522075210682
12.4174174,2.07964665,243.31523011197456
12.4324324,2.07964658,243.31523830185947
12.4474474,2.07964651,243.31524649174494
12.4624625,2.07964644,243.3152546816309
12.4774775,2.07964637,243.31526287151746
12.4924925,2.0796463,243.3152710614046
12.5075075,2.07964622,243.31528042127619
12.5225225,2.07964615,243.31528861116448
12.5375375,2.07964608,243.31529680105334
12.5525526,2.07964601,243.31530499094268
12.5675676,2.07964594,243.31531318083265
12.5825826,2.07964587,243.31532137072315
