TEMP    ,H2,lcoh
900.0,2.07992656,243.2824855106168
901.101101,2.07988991,243.2867724216937
902.202202,2.07985335,243.29104895609444
903.303303,2.07981687,243.2953162825086
904.404404,2.07978049,243.29957206029323
905.505506,2.07974419,243.30381862797606
906.606607,2.07970799,243.30805364475566
907.707708,2.07967187,243.3122794493283
908.808809,2.07963584,243.31649487073037
909.0,2.0796296,243.3172249502253
909.90991,2.0795999,243.32069990787508
911.011011,2.07956404,243.32489572975447
912.112112,2.07952828,243.3290799951742
913.213213,2.0794926,243.33325504324804
914.314314,2.07945701,243.33741970282284
915.415415,2.0794215,243.34157514306122
916.516517,2.07938608,243.3457201927345
917.617618,2.07935075,243.34985485077348
918.718719,2.07931551,243.35397911611165
919.81982,2.07928035,243.35809415808072
920.920921,2.07924527,243.3621999757378
922.022022,2.07921029,243.36629422719292
923.123123,2.07917538,243.3703804228131
924.224224,2.07914057,243.3744550501206
925.325325,2.07910583,243.37852161972293
926.426426,2.07907119,243.38257661891174
927.527528,2.07903662,243.38662355853404
928.628629,2.07900214,243.39066009636093
929.72973,2.07896775,243.3946862313507
930.830831,2.07893344,243.3987031332504
931.931932,2.07889921,243.4027108011393
933.033033,2.07886507,243.40670806323521
934.134134,2.07883101,243.410696089408
935.235235,2.07879703,243.41467487874326
936.336336,2.07876314,243.41864325935035
937.437437,2.07872933,243.42260240122127
938.538539,2.0786956,243.4265523034479
939.63964,2.07866195,243.43049296512453
940.740741,2.07862839,243.43442321421728
941.841842,2.0785949,243.43834539204684
942.942943,2.0785615,243.44225715541592
944.044044,2.07852818,243.44615967455732
945.145145,2.07849494,243.45005294857586
946.246246,2.07846178,243.4539369765784
947.347347,2.07842871,243.45781058631886
948.448448,2.07839571,243.4616761195812
949.54955,2.07836279,243.46553240416077
950.650651,2.07832996,243.46937826770633
951.751752,2.0782972,243.47321605223112
952.852853,2.07826452,243.47704458542506
953.953954,2.07823193,243.48086269483264
955.055055,2.07819941,243.4846727226946
956.156156,2.07816697,243.48847349659644
957.257257,2.07813461,243.49226501566562
958.358358,2.07810233,243.49604727903218
959.459459,2.07807013,243.49982028582795
960.560561,2.078038,243.50358520698228
961.661662,2.07800596,243.50733969807627
962.762763,2.07797399,243.5110861018752
963.863864,2.0779421,243.51482324572325
964.964965,2.07791028,243.51855230070234
966.066066,2.07787855,243.52227092211285
967.167167,2.07784689,243.52598145301604
968.268268,2.0778153,243.52968389266695
969.369369,2.0777838,243.53337589615774
970.47047,2.07775237,243.53705980676952
971.571572,2.07772101,243.5407356237626
972.672673,2.07768974,243.5444010020221
973.773774,2.07765854,243.5480582850477
974.874875,2.07762741,243.55170747210497
975.975976,2.07759636,243.5553473901673
977.077077,2.07756538,243.55897921072744
978.178178,2.07753448,243.56260176069233
979.279279,2.07750366,243.56621503922983
980.38038,2.07747291,243.5698202179431
981.481481,2.07744223,243.57341729610795
982.582583,2.07741163,243.57700510049955
983.683684,2.0773811,243.58058480283034
984.784785,2.07735065,243.58415522981014
985.885886,2.07732027,243.587717553224
986.986987,2.07728996,243.59127177235624
988.088088,2.07725973,243.5948167138189
989.189189,2.07722957,243.59835354950536
990.29029,2.07719948,243.6018822787049
991.391391,2.07716946,243.6054029007085
992.492492,2.07713952,243.60891424199903
993.593594,2.07710965,243.6124174746129
994.694695,2.07707985,243.615912597846
995.795796,2.07705012,243.61939961099594
996.896897,2.07702047,243.62287734041786
997.997998,2.07699088,243.62634813126724
999.099099,2.07696137,243.62980963692507
1000.2002,2.07693193,243.6332630296396
1001.3013,2.07690256,243.63670830871672
1002.4024,2.07687326,243.64014547346378
1003.5035,2.07684403,243.64357452318987
1004.6046,2.07681487,243.64699545720555
1005.70571,2.07678579,243.65040710161398
1006.80681,2.07675677,243.65381180211443
1007.90791,2.07672782,243.65720838484606
1009.00901,2.07669894,243.66059684912588
1010.11011,2.07667013,243.66397719427255
1011.21121,2.07664139,243.66734941960638
1012.31231,2.07661272,243.6707135244491
1013.41341,2.07658412,243.67406950812423
1014.51451,2.07655558,243.67741854342617
1015.61562,2.07652712,243.68075828277503
1016.71672,2.07649872,243.68409107246984
1017.81782,2.07647039,243.68741573837087
1018.91892,2.07644213,243.6907322798093
1020.02002,2.07641394,243.69404069611815
1021.12112,2.07638581,243.69734216029292
1022.22222,2.07635776,243.70063432437917
1023.32332,2.07632976,243.7039207087929
1024.42442,2.07630184,243.70719779179456
1025.52553,2.07627398,243.71046792020533
1026.62663,2.07624619,243.71372991964262
1027.72773,2.07621847,243.71698378945015
1028.82883,2.07619081,243.72023070285485
1029.92993,2.07616322,243.72346948538416
1031.03103,2.07613569,243.72670131033055
1032.13213,2.07610823,243.7299250031618
1033.23323,2.07608084,243.73314056322926
1034.33433,2.07605351,243.73634916392254
1035.43544,2.07602625,243.739549630621
1036.53654,2.07599905,243.7427431367789
1037.63764,2.07597191,243.74592968184578
1038.73874,2.07594484,243.74910809111242
1039.83984,2.07591784,243.752278363939
1040.94094,2.0758909,243.75544167390828
1042.04204,2.07586402,243.7585980204749
1043.14314,2.07583721,243.7617462288129
1044.24424,2.07581046,243.76488747260046
1045.34535,2.07578378,243.76802057695386
1046.44645,2.07575716,243.77114671561435
1047.54755,2.0757306,243.77426588804303
1048.64865,2.0757041,243.77737809370183
1049.74975,2.07567767,243.78048215759196
1050.85085,2.0756513,243.78357925358034
1051.95195,2.075625,243.78666820661107
1053.05305,2.07559875,243.78975136516488
1054.15415,2.07557257,243.79282637963706
1055.25526,2.07554645,243.7958944240188
1056.35636,2.07552039,243.79895549778095
1057.45746,2.07549439,243.8020096003955
1058.55856,2.07546846,243.80505555663657
1059.65966,2.07544259,243.8080945406189
1060.76076,2.07541678,243.81112655181818
1061.86186,2.07539102,243.81415276449783
1062.96296,2.07536533,243.8171708285919
1064.06406,2.07533971,243.82018074349233
1065.16517,2.07531414,243.82318485834003
1066.26627,2.07528863,243.82618199780094
1067.36737,2.07526318,243.82917216135792
1068.46847,2.07523779,243.83215534849478
1069.56957,2.07521246,243.83513155869687
1070.67067,2.0751872,243.83809961643323
1071.77177,2.07516199,243.84106187119738
1072.87287,2.07513684,243.84401714748944
1073.97397,2.07511175,243.8469654447993
1075.07508,2.07508672,243.8499067626181
1076.17618,2.07506174,243.85284227559754
1077.27728,2.07503683,243.85576963294045
1078.37838,2.07501198,243.8586900092726
1079.47948,2.07498718,243.86160457933386
1080.58058,2.07496244,243.86451216743328
1081.68168,2.07493776,243.86741277306893
1082.78278,2.07491314,243.87030639574002
1083.88388,2.07488858,243.87319303494698
1084.98498,2.07486407,243.87607386557477
1086.08609,2.07483962,243.87894771179808
1087.18719,2.07481523,243.88181457312083
1088.28829,2.0747909,243.88467444904788
1089.38939,2.07476662,243.88752851457917
1090.49049,2.0747424,243.89037559378312
1091.59159,2.07471823,243.89321686171667
