press,h2_production
10,2.07965819
10.015015,2.07965811
10.03003,2.07965804
10.045045,2.07965797
10.0600601,2.0796579
10.0750751,2.07965783
10.0900901,2.07965776
10.1051051,2.07965768
10.1201201,2.07965761
10.1351351,2.07965754
10.1501502,2.07965747
10.1651652,2.0796574
10.1801802,2.07965733
10.1951952,2.07965725
10.2102102,2.07965718
10.2252252,2.07965711
10.2402402,2.07965704
10.2552553,2.07965697
10.2702703,2.0796569
10.2852853,2.07965682
10.3003003,2.07965675
10.3153153,2.07965668
10.3303303,2.07965661
10.3453453,2.07965654
10.3603604,2.07965647
10.3753754,2.07965639
10.3903904,2.07965632
10.4054054,2.07965625
10.4204204,2.07965618
10.4354354,2.07965611
10.4504505,2.07965604
10.4654655,2.07965596
10.4804805,2.07965589
10.4954955,2.07965582
10.5105105,2.07965575
10.5255255,2.07965568
10.5405405,2.07965561
10.5555556,2.07965553
10.5705706,2.07965546
10.5855856,2.07965539
10.6006006,2.07965532
10.6156156,2.07965525
10.6306306,2.07965518
10.6456456,2.0796551
10.6606607,2.07965503
10.6756757,2.07965496
10.6906907,2.07965489
10.7057057,2.07965482
10.7207207,2.07965475
10.7357357,2.07965467
10.7507508,2.0796546
10.7657658,2.07965453
10.7807808,2.07965446
10.7957958,2.07965439
10.8108108,2.07965432
10.8258258,2.07965425
10.8408408,2.07965417
10.8558559,2.0796541
10.8708709,2.07965403
10.8858859,2.07965396
10.9009009,2.07965389
10.9159159,2.07965382
10.9309309,2.07965374
10.9459459,2.07965367
10.960961,2.0796536
10.975976,2.07965353
10.990991,2.07965346
11.006006,2.07965339
11.021021,2.07965331
11.036036,2.07965324
11.0510511,2.07965317
11.0660661,2.0796531
11.0810811,2.07965303
11.0960961,2.07965296
11.1111111,2.07965288
11.1261261,2.07965281
11.1411411,2.07965274
11.1561562,2.07965267
11.1711712,2.0796526
11.1861862,2.07965253
11.2012012,2.07965245
11.2162162,2.07965238
11.2312312,2.07965231
11.2462462,2.07965224
11.2612613,2.07965217
11.2762763,2.0796521
11.2912913,2.07965202
11.3063063,2.07965195
11.3213213,2.07965188
11.3363363,2.07965181
11.3513514,2.07965174
11.3663664,2.07965167
11.3813814,2.07965159
11.3963964,2.07965152
11.4114114,2.07965145
11.4264264,2.07965138
11.4414414,2.07965131
11.4564565,2.07965124
11.4714715,2.07965116
11.4864865,2.07965109
11.5015015,2.07965102
11.5165165,2.07965095
11.5315315,2.07965088
11.5465465,2.07965081
11.5615616,2.07965074
11.5765766,2.07965066
11.5915916,2.07965059
11.6066066,2.07965052
11.6216216,2.07965045
11.6366366,2.07965038
11.6516517,2.07965031
11.6666667,2.07965023
11.6816817,2.07965016
11.6966967,2.07965009
11.7117117,2.07965002
11.7267267,2.07964995
11.7417417,2.07964988
11.7567568,2.0796498
11.7717718,2.07964973
11.7867868,2.07964966
11.8018018,2.07964959
11.8168168,2.07964952
11.8318318,2.07964945
11.8468468,2.07964937
11.8618619,2.0796493
11.8768769,2.07964923
11.8918919,2.07964916
11.9069069,2.07964909
11.9219219,2.07964902
11.9369369,2.07964894
11.951952,2.07964887
11.966967,2.0796488
11.981982,2.07964873
11.996997,2.07964866
12.012012,2.07964859
12.027027,2.07964852
12.042042,2.07964844
12.0570571,2.07964837
12.0720721,2.0796483
12.0870871,2.07964823
12.1021021,2.07964816
12.1171171,2.07964809
12.1321321,2.07964801
12.1471471,2.07964794
12.1621622,2.07964787
12.1771772,2.0796478
12.1921922,2.07964773
12.2072072,2.07964766
12.2222222,2.07964758
12.2372372,2.07964751
12.2522523,2.07964744
12.2672673,2.07964737
12.2822823,2.0796473
12.2972973,2.07964723
12.3123123,2.07964715
12.3273273,2.07964708
12.3423423,2.07964701
12.3573574,2.07964694
12.3723724,2.07964687
12.3873874,2.0796468
12.4024024,2.07964673
12.4174174,2.07964665
12.4324324,2.07964658
12.4474474,2.07964651
12.4624625,2.07964644
12.4774775,2.07964637
12.4924925,2.0796463
12.5075075,2.07964622
12.5225225,2.07964615
12.5375375,2.07964608
12.5525526,2.07964601
12.5675676,2.07964594
12.5825826,2.07964587
12.5975976,2.07964579
12.6126126,2.07964572
12.6276276,2.07964565
12.6426426,2.07964558
12.6576577,2.07964551
12.6726727,2.07964544
12.6876877,2.07964537
12.7027027,2.07964529
12.7177177,2.07964522
12.7327327,2.07964515
12.7477477,2.07964508
12.7627628,2.07964501
12.7777778,2.07964494
12.7927928,2.07964486
12.8078078,2.07964479
12.8228228,2.07964472
12.8378378,2.07964465
12.8528529,2.07964458
12.8678679,2.07964451
12.8828829,2.07964444
12.8978979,2.07964436
12.9129129,2.07964429
12.9279279,2.07964422
12.9429429,2.07964415
12.957958,2.07964408
12.972973,2.07964401
12.987988,2.07964393
13.003003,2.07964386
13.018018,2.07964379
13.033033,2.07964372
13.048048,2.07964365
13.0630631,2.07964358
13.0780781,2.0796435
13.0930931,2.07964343
13.1081081,2.07964336
13.1231231,2.07964329
13.1381381,2.07964322
13.1531532,2.07964315
13.1681682,2.07964308
13.1831832,2.079643
13.1981982,2.07964293
13.2132132,2.07964286
13.2282282,2.07964279
13.2432432,2.07964272
