biogas_mass,h2_production
25,1.34334976
25.025025,1.34471617
25.0500501,1.34608257
25.0750751,1.34744895
25.1001001,1.34881533
25.1251251,1.35018169
25.1501502,1.35154805
25.1751752,1.35291439
25.2002002,1.35428071
25.2252252,1.35564703
25.2502503,1.35701333
25.2752753,1.35837963
25.3003003,1.35974591
25.3253253,1.36111218
25.3503504,1.36247843
25.3753754,1.36384468
25.4004004,1.36521091
25.4254254,1.36657713
25.4504505,1.36794334
25.4754755,1.36930954
25.5005005,1.37067573
25.5255255,1.3720419
25.5505506,1.37340807
25.5755756,1.37477422
25.6006006,1.37614036
25.6256256,1.37750649
25.6506507,1.37887261
25.6756757,1.38023871
25.7007007,1.38160481
25.7257257,1.38297089
25.7507508,1.38433696
25.7757758,1.38570302
25.8008008,1.38706907
25.8258258,1.3884351
25.8508509,1.38980113
25.8758759,1.39116714
25.9009009,1.39253314
25.9259259,1.39389913
25.950951,1.39526511
25.975976,1.39663108
26.001001,1.39799704
26.026026,1.39936298
26.0510511,1.40072891
26.0760761,1.40209484
26.1011011,1.40346075
26.1261261,1.40482665
26.1511512,1.40619254
26.1761762,1.40755841
26.2012012,1.40892428
26.2262262,1.41029014
26.2512513,1.41165598
26.2762763,1.41302181
26.3013013,1.41438763
26.3263263,1.41575344
26.3513514,1.41711924
26.3763764,1.41848503
26.4014014,1.41985081
26.4264264,1.42121657
26.4514515,1.42258233
26.4764765,1.42394807
26.5015015,1.4253138
26.5265265,1.42667953
26.5515516,1.42804524
26.5765766,1.42941094
26.6016016,1.43077662
26.6266266,1.4321423
26.6516517,1.43350797
26.6766767,1.43487363
26.7017017,1.43623927
26.7267267,1.4376049
26.7517518,1.43897053
26.7767768,1.44033614
26.8018018,1.44170174
26.8268268,1.44306733
26.8518519,1.44443291
26.8768769,1.44579848
26.9019019,1.44716404
26.9269269,1.44852958
26.951952,1.44989512
26.976977,1.45126065
27.002002,1.45262616
27.027027,1.45399167
27.0520521,1.45535716
27.0770771,1.45672264
27.1021021,1.45808811
27.1271271,1.45945358
27.1521522,1.46081903
27.1771772,1.46218447
27.2022022,1.4635499
27.2272272,1.46491532
27.2522523,1.46628072
27.2772773,1.46764612
27.3023023,1.46901151
27.3273273,1.47037689
27.3523524,1.47174225
27.3773774,1.47310761
27.4024024,1.47447295
27.4274274,1.47583829
27.4524525,1.47720361
27.4774775,1.47856892
27.5025025,1.47993423
27.5275275,1.48129952
27.5525526,1.4826648
27.5775776,1.48403007
27.6026026,1.48539534
27.6276276,1.48676059
27.6526527,1.48812583
27.6776777,1.48949106
27.7027027,1.49085628
27.7277277,1.49222149
27.7527528,1.49358669
27.7777778,1.49495188
27.8028028,1.49631706
27.8278278,1.49768222
27.8528529,1.49904738
27.8778779,1.50041253
27.9029029,1.50177767
27.9279279,1.5031428
27.952953,1.50450791
27.977978,1.50587302
28.003003,1.50723812
28.028028,1.5086032
28.0530531,1.50996828
28.0780781,1.51133335
28.1031031,1.5126984
28.1281281,1.51406345
28.1531532,1.51542849
28.1781782,1.51679351
28.2032032,1.51815853
28.2282282,1.51952354
28.2532533,1.52088853
28.2782783,1.52225352
28.3033033,1.52361849
28.3283283,1.52498346
28.3533534,1.52634842
28.3783784,1.52771336
28.4034034,1.5290783
28.4284284,1.53044322
28.4534535,1.53180814
28.4784785,1.53317305
28.5035035,1.53453794
28.5285285,1.53590283
28.5535536,1.53726771
28.5785786,1.53863257
28.6036036,1.53999743
28.6286286,1.54136228
28.6536537,1.54272711
28.6786787,1.54409194
28.7037037,1.54545676
28.7287287,1.54682157
28.7537538,1.54818637
28.7787788,1.54955115
28.8038038,1.55091593
28.8288288,1.5522807
28.8538539,1.55364546
28.8788789,1.55501021
28.9039039,1.55637495
28.9289289,1.55773968
28.953954,1.5591044
28.978979,1.56046911
29.004004,1.56183381
29.029029,1.5631985
29.0540541,1.56456319
29.0790791,1.56592786
29.1041041,1.56729252
29.1291291,1.56865717
29.1541542,1.57002182
29.1791792,1.57138645
29.2042042,1.57275107
29.2292292,1.57411569
29.2542543,1.5754803
29.2792793,1.57684489
29.3043043,1.57820948
29.3293293,1.57957405
29.3543544,1.58093862
29.3793794,1.58230318
29.4044044,1.58366773
29.4294294,1.58503227
29.4544545,1.5863968
29.4794795,1.58776132
29.5045045,1.58912583
29.5295295,1.59049033
29.5545546,1.59185482
29.5795796,1.5932193
29.6046046,1.59458378
29.6296296,1.59594824
29.6546547,1.59731269
29.6796797,1.59867714
29.7047047,1.60004158
29.7297297,1.601406
29.7547548,1.60277042
29.7797798,1.60413483
29.8048048,1.60549923
29.8298298,1.60686362
29.8548549,1.608228
29.8798799,1.60959237
29.9049049,1.61095673
29.9299299,1.61232108
29.954955,1.61368543
29.97998,1.61504976
30.005005,1.61641409
30.03003,1.6177784
30.0550551,1.61914271
30.0800801,1.62050701
30.1051051,1.6218713
30.1301301,1.62323558
30.1551552,1.62459985
30.1801802,1.62596411
30.2052052,1.62732836
30.2302302,1.6286926
30.2552553,1.63005684
30.2802803,1.63142106
30.3053053,1.63278528
30.3303303,1.63414949
30.3553554,1.63551368
30.3803804,1.63687787
30.4054054,1.63824205
30.4304304,1.63960623
30.4554555,1.64097039
30.4804805,1.64233454
30.5055055,1.64369869
30.5305305,1.64506282
30.5555556,1.64642695
30.5805806,1.64779107
30.6056056,1.64915517
30.6306306,1.65051927
30.6556557,1.65188337
30.6806807,1.65324745
30.7057057,1.65461152
30.7307307,1.65597559
30.7557558,1.65733964
30.7807808,1.65870369
30.8058058,1.66006773
30.8308308,1.66143176
30.8558559,1.66279578
30.8808809,1.66415979
30.9059059,1.66552379
30.9309309,1.66688779
30.955956,1.66825177
30.980981,1.66961575
31.006006,1.67097972
31.031031,1.67234368
31.0560561,1.67370763
31.0810811,1.67507157
31.1061061,1.6764355
31.1311311,1.67779943
31.1561562,1.67916334
