temp,h2_production
900,2.07992656
901.101101,2.07988991
902.202202,2.07985335
903.303303,2.07981687
904.404404,2.07978049
905.505506,2.07974419
906.606607,2.07970799
907.707708,2.07967187
908.808809,2.07963584
909,2.0796296
909.90991,2.0795999
911.011011,2.07956404
912.112112,2.07952828
913.213213,2.0794926
914.314314,2.07945701
915.415415,2.0794215
916.516517,2.07938608
917.617618,2.07935075
918.718719,2.07931551
919.81982,2.07928035
920.920921,2.07924527
922.022022,2.07921029
923.123123,2.07917538
924.224224,2.07914057
925.325325,2.07910583
926.426426,2.07907119
927.527528,2.07903662
928.628629,2.07900214
929.72973,2.07896775
930.830831,2.07893344
931.931932,2.07889921
933.033033,2.07886507
934.134134,2.07883101
935.235235,2.07879703
936.336336,2.07876314
937.437437,2.07872933
938.538539,2.0786956
939.63964,2.07866195
940.740741,2.07862839
941.841842,2.0785949
942.942943,2.0785615
944.044044,2.07852818
945.145145,2.07849494
946.246246,2.07846178
947.347347,2.07842871
948.448448,2.07839571
949.54955,2.07836279
950.650651,2.07832996
951.751752,2.0782972
952.852853,2.07826452
953.953954,2.07823193
955.055055,2.07819941
956.156156,2.07816697
957.257257,2.07813461
958.358358,2.07810233
959.459459,2.07807013
960.560561,2.078038
961.661662,2.07800596
962.762763,2.07797399
963.863864,2.0779421
964.964965,2.07791028
966.066066,2.07787855
967.167167,2.07784689
968.268268,2.0778153
969.369369,2.0777838
970.47047,2.07775237
971.571572,2.07772101
972.672673,2.07768974
973.773774,2.07765854
974.874875,2.07762741
975.975976,2.07759636
977.077077,2.07756538
978.178178,2.07753448
979.279279,2.07750366
980.38038,2.07747291
981.481481,2.07744223
982.582583,2.07741163
983.683684,2.0773811
984.784785,2.07735065
985.885886,2.07732027
986.986987,2.07728996
988.088088,2.07725973
989.189189,2.07722957
990.29029,2.07719948
991.391391,2.07716946
992.492492,2.07713952
993.593594,2.07710965
994.694695,2.07707985
995.795796,2.07705012
996.896897,2.07702047
997.997998,2.07699088
999.099099,2.07696137
1000.2002,2.07693193
1001.3013,2.07690256
1002.4024,2.07687326
1003.5035,2.07684403
1004.6046,2.07681487
1005.70571,2.07678579
1006.80681,2.07675677
1007.90791,2.07672782
1009.00901,2.07669894
1010.11011,2.07667013
1011.21121,2.07664139
1012.31231,2.07661272
1013.41341,2.07658412
1014.51451,2.07655558
1015.61562,2.07652712
1016.71672,2.07649872
1017.81782,2.07647039
1018.91892,2.07644213
1020.02002,2.07641394
1021.12112,2.07638581
1022.22222,2.07635776
1023.32332,2.07632976
1024.42442,2.07630184
1025.52553,2.07627398
1026.62663,2.07624619
1027.72773,2.07621847
1028.82883,2.07619081
1029.92993,2.07616322
1031.03103,2.07613569
1032.13213,2.07610823
1033.23323,2.07608084
1034.33433,2.07605351
1035.43544,2.07602625
1036.53654,2.07599905
1037.63764,2.07597191
1038.73874,2.07594484
1039.83984,2.07591784
1040.94094,2.0758909
1042.04204,2.07586402
1043.14314,2.07583721
1044.24424,2.07581046
1045.34535,2.07578378
1046.44645,2.07575716
1047.54755,2.0757306
1048.64865,2.0757041
1049.74975,2.07567767
1050.85085,2.0756513
1051.95195,2.075625
1053.05305,2.07559875
1054.15415,2.07557257
1055.25526,2.07554645
1056.35636,2.07552039
1057.45746,2.07549439
1058.55856,2.07546846
1059.65966,2.07544259
1060.76076,2.07541678
1061.86186,2.07539102
1062.96296,2.07536533
1064.06406,2.07533971
1065.16517,2.07531414
1066.26627,2.07528863
1067.36737,2.07526318
1068.46847,2.07523779
1069.56957,2.07521246
1070.67067,2.0751872
1071.77177,2.07516199
1072.87287,2.07513684
1073.97397,2.07511175
1075.07508,2.07508672
1076.17618,2.07506174
1077.27728,2.07503683
1078.37838,2.07501198
1079.47948,2.07498718
1080.58058,2.07496244
1081.68168,2.07493776
1082.78278,2.07491314
1083.88388,2.07488858
1084.98498,2.07486407
1086.08609,2.07483962
1087.18719,2.07481523
1088.28829,2.0747909
1089.38939,2.07476662
1090.49049,2.0747424
1091.59159,2.07471823
1092.69269,2.07469413
1093.79379,2.07467008
1094.89489,2.07464608
1095.996,2.07462214
1097.0971,2.07459826
1098.1982,2.07457443
1099.2993,2.07455066
1100.4004,2.07452695
1101.5015,2.07450329
1102.6026,2.07447968
1103.7037,2.07445613
1104.8048,2.07443264
1105.90591,2.0744092
1107.00701,2.07438581
1108.10811,2.07436248
1109.20921,2.0743392
1110.31031,2.07431598
1111.41141,2.07429281
1112.51251,2.07426969
1113.61361,2.07424663
1114.71471,2.07422362
1115.81582,2.07420067
1116.91692,2.07417777
1118.01802,2.07415492
1119.11912,2.07413212
1120.22022,2.07410938
1121.32132,2.07408669
1122.42242,2.07406405
1123.52352,2.07404146
1124.62462,2.07401893
1125.72573,2.07399645
1126.82683,2.07397402
1127.92793,2.07395164
1129.02903,2.07392932
1130.13013,2.07390704
1131.23123,2.07388482
1132.33233,2.07386265
1133.43343,2.07384053
1134.53453,2.07381846
1135.63564,2.07379644
1136.73674,2.07377447
1137.83784,2.07375255
1138.93894,2.07373069
1140.04004,2.07370887
1141.14114,2.0736871
1142.24224,2.07366538
1143.34334,2.07364372
1144.44444,2.0736221
1145.54555,2.07360053
1146.64665,2.07357901
1147.74775,2.07355754
1148.84885,2.07353612
1149.94995,2.07351475
1151.05105,2.07349343
1152.15215,2.07347216
1153.25325,2.07345093
1154.35435,2.07342975
1155.45546,2.07340863
1156.55656,2.07338755
1157.65766,2.07336651
1158.75876,2.07334553
1159.85986,2.07332459
1160.96096,2.0733037
1162.06206,2.07328286
1163.16316,2.07326207
1164.26426,2.07324132
1165.36537,2.07322062
1166.46647,2.07319997
1167.56757,2.07317937
1168.66867,2.07315881
1169.76977,2.0731383
1170.87087,2.07311783
1171.97197,2.07309741
1173.07307,2.07307704
1174.17417,2.07305671
1175.27528,2.07303643
1176.37638,2.0730162
1177.47748,2.07299601
1178.57858,2.07297586
1179.67968,2.07295577
1180.78078,2.07293571
1181.88188,2.07291571
1182.98298,2.07289574
1184.08408,2.07287583
1185.18519,2.07285595
1186.28629,2.07283613
1187.38739,2.07281634
1188.48849,2.07279661
1189.58959,2.07277691
1190.69069,2.07275726
1191.79179,2.07273766
1192.89289,2.0727181
1193.99399,2.07269858
1195.0951,2.0726791
1196.1962,2.07265967
1197.2973,2.07264029
1198.3984,2.07262094
1199.4995,2.07260164
1200.6006,2.07258239
1201.7017,2.07256317
1202.8028,2.072544
